Date,Sales,GDP,Unemployment,Population,Popularity
13-06-2010,5422,1675.62,5.55%,"1,24,06,13,620",21.25
14-06-2010,7047,1675.62,5.55%,"1,24,06,13,620",21.25
15-06-2010,1572,1675.62,5.55%,"1,24,06,13,620",21.25
16-06-2010,5657,1675.62,5.55%,"1,24,06,13,620",21.25
17-06-2010,3668,1675.62,5.55%,"1,24,06,13,620",21.25
18-06-2010,2898,1675.62,5.55%,"1,24,06,13,620",21.25
19-06-2010,6912,1675.62,5.55%,"1,24,06,13,620",21.25
20-06-2010,5209,1675.62,5.55%,"1,24,06,13,620",21.25
21-06-2010,6322,1675.62,5.55%,"1,24,06,13,620",21.25
22-06-2010,6865,1675.62,5.55%,"1,24,06,13,620",21.25
23-06-2010,1287,1675.62,5.55%,"1,24,06,13,620",21.25
24-06-2010,2197,1675.62,5.55%,"1,24,06,13,620",21.25
25-06-2010,7910,1675.62,5.55%,"1,24,06,13,620",21.25
26-06-2010,3855,1675.62,5.55%,"1,24,06,13,620",21.25
27-06-2010,5988,1675.62,5.55%,"1,24,06,13,620",21.25
28-06-2010,2653,1675.62,5.55%,"1,24,06,13,620",21.25
29-06-2010,3664,1675.62,5.55%,"1,24,06,13,620",21.25
30-06-2010,7077,1675.62,5.55%,"1,24,06,13,620",21.25
01-07-2010,3509,1675.62,5.55%,"1,24,06,13,620",21.25
02-07-2010,3716,1675.62,5.55%,"1,24,06,13,620",21.25
03-07-2010,7746,1675.62,5.55%,"1,24,06,13,620",21.25
04-07-2010,7006,1675.62,5.55%,"1,24,06,13,620",21.25
05-07-2010,5223,1675.62,5.55%,"1,24,06,13,620",21.25
06-07-2010,4753,1675.62,5.55%,"1,24,06,13,620",21.25
07-07-2010,3369,1675.62,5.55%,"1,24,06,13,620",21.25
08-07-2010,6805,1675.62,5.55%,"1,24,06,13,620",21.25
09-07-2010,7826,1675.62,5.55%,"1,24,06,13,620",21.25
10-07-2010,7450,1675.62,5.55%,"1,24,06,13,620",21.25
11-07-2010,5868,1675.62,5.55%,"1,24,06,13,620",21.25
12-07-2010,5273,1675.62,5.55%,"1,24,06,13,620",21.25
13-07-2010,1562,1675.62,5.55%,"1,24,06,13,620",21.25
14-07-2010,378,1675.62,5.55%,"1,24,06,13,620",21.25
15-07-2010,3180,1675.62,5.55%,"1,24,06,13,620",21.25
16-07-2010,2508,1675.62,5.55%,"1,24,06,13,620",21.25
17-07-2010,7257,1675.62,5.55%,"1,24,06,13,620",21.25
18-07-2010,2527,1675.62,5.55%,"1,24,06,13,620",21.25
19-07-2010,2581,1675.62,5.55%,"1,24,06,13,620",21.25
20-07-2010,7694,1675.62,5.55%,"1,24,06,13,620",21.25
21-07-2010,3935,1675.62,5.55%,"1,24,06,13,620",21.25
22-07-2010,2898,1675.62,5.55%,"1,24,06,13,620",21.25
23-07-2010,7734,1675.62,5.55%,"1,24,06,13,620",21.25
24-07-2010,3052,1675.62,5.55%,"1,24,06,13,620",21.25
25-07-2010,3041,1675.62,5.55%,"1,24,06,13,620",21.25
26-07-2010,1387,1675.62,5.55%,"1,24,06,13,620",21.25
27-07-2010,4536,1675.62,5.55%,"1,24,06,13,620",21.25
28-07-2010,7659,1675.62,5.55%,"1,24,06,13,620",21.25
29-07-2010,3144,1675.62,5.55%,"1,24,06,13,620",21.25
30-07-2010,6361,1675.62,5.55%,"1,24,06,13,620",21.25
31-07-2010,2733,1675.62,5.55%,"1,24,06,13,620",21.25
01-08-2010,2062,1675.62,5.55%,"1,24,06,13,620",21.25
02-08-2010,1964,1675.62,5.55%,"1,24,06,13,620",21.25
03-08-2010,3461,1675.62,5.55%,"1,24,06,13,620",21.25
04-08-2010,2118,1675.62,5.55%,"1,24,06,13,620",21.25
05-08-2010,6458,1675.62,5.55%,"1,24,06,13,620",21.25
06-08-2010,957,1675.62,5.55%,"1,24,06,13,620",21.25
07-08-2010,3595,1675.62,5.55%,"1,24,06,13,620",21.25
08-08-2010,1980,1675.62,5.55%,"1,24,06,13,620",21.25
09-08-2010,3589,1675.62,5.55%,"1,24,06,13,620",21.25
10-08-2010,2661,1675.62,5.55%,"1,24,06,13,620",21.25
11-08-2010,5148,1675.62,5.55%,"1,24,06,13,620",21.25
12-08-2010,3272,1675.62,5.55%,"1,24,06,13,620",21.25
13-08-2010,5704,1675.62,5.55%,"1,24,06,13,620",21.25
14-08-2010,3914,1675.62,5.55%,"1,24,06,13,620",21.25
15-08-2010,3094,1675.62,5.55%,"1,24,06,13,620",21.25
16-08-2010,4180,1675.62,5.55%,"1,24,06,13,620",21.25
17-08-2010,7024,1675.62,5.55%,"1,24,06,13,620",21.25
18-08-2010,5187,1675.62,5.55%,"1,24,06,13,620",21.25
19-08-2010,570,1675.62,5.55%,"1,24,06,13,620",21.25
20-08-2010,2497,1675.62,5.55%,"1,24,06,13,620",21.25
21-08-2010,419,1675.62,5.55%,"1,24,06,13,620",21.25
22-08-2010,2592,1675.62,5.55%,"1,24,06,13,620",21.25
23-08-2010,7712,1675.62,5.55%,"1,24,06,13,620",21.25
24-08-2010,1076,1675.62,5.55%,"1,24,06,13,620",21.25
